 0_0
-----------------------------------------------------------------------
 Push step   Relax step   Lanczos step   Potential energy   Eigenvalue
        19           21              5       -1978.913818    -0.980780
        19           22              5       -1978.913818    -0.980780
        19           23              5       -1978.913818    -0.980780
        19           24              5       -1978.913940    -0.980780
        19           25              5       -1978.913818    -0.980780
        19           26              5       -1978.913940    -0.980780
        19           27              5       -1978.913940    -0.980780
        19           28              5       -1978.914062    -0.980780
        19           29              5       -1978.914062    -0.980780
        19           30              5       -1978.914062    -0.980780
        19           31              5       -1978.914062    -0.980780
        19           32              5       -1978.914185    -0.980780
        19           33              5       -1978.914185    -0.980780
        19           34              5       -1978.914307    -0.980780
        19           35              5       -1978.914062    -0.980780
        19           36              5       -1978.914185    -0.980780
        19           37              5       -1978.914307    -0.980780
        19           38              5       -1978.914185    -0.980780
        19           39              5       -1978.914307    -0.980780
        19           40              5       -1978.914307    -0.980780
        19           41              5       -1978.914307    -0.980780
        19           42              5       -1978.914429    -0.980780
        19           43              5       -1978.914185    -0.980780
        19           44              5       -1978.914307    -0.980780
        19           45              5       -1978.914429    -0.980780
        19           46              5       -1978.914307    -0.980780
        19           47              5       -1978.914429    -0.980780
        19           48              5       -1978.914551    -0.980780
        19           49              5       -1978.914429    -0.980780
        19           50              5       -1978.914429    -0.980780
        19           51              5       -1978.914429    -0.980780
        19           52              5       -1978.914551    -0.980780
        19           53              5       -1978.914551    -0.980780
        19           54              5       -1978.914551    -0.980780
        19           55              5       -1978.914673    -0.980780
        19           56              5       -1978.914673    -0.980780
        19           57              5       -1978.914673    -0.980780
        19           58              5       -1978.914795    -0.980780
        19           59              5       -1978.914795    -0.980780
        19           60              5       -1978.914673    -0.980780
        19           61              5       -1978.914673    -0.980780
        19           62              5       -1978.914795    -0.980780
        19           63              5       -1978.914795    -0.980780
        19           64              5       -1978.914795    -0.980780
        19           65              5       -1978.914795    -0.980780
        19           66              5       -1978.914917    -0.980780
        19           67              5       -1978.914795    -0.980780
        19           68              5       -1978.914795    -0.980780
        19           69              5       -1978.914795    -0.980780
        19           70              5       -1978.914795    -0.980780
        19           71              5       -1978.914917    -0.980780
        19           72              5       -1978.915039    -0.980780
        19           73              5       -1978.914795    -0.980780
        19           74              5       -1978.914795    -0.980780
        19           75              5       -1978.914917    -0.980780
        19           76              5       -1978.914795    -0.980780
        19           77              5       -1978.914795    -0.980780
        19           78              5       -1978.914917    -0.980780
        19           79              5       -1978.915039    -0.980780
        19           80              5       -1978.915039    -0.980780
        19           81              5       -1978.915039    -0.980780
        19           82              5       -1978.915039    -0.980780
        19           83              5       -1978.915161    -0.980780
        19           84              5       -1978.915039    -0.980780
        19           85              5       -1978.915039    -0.980780
        19           86              5       -1978.915283    -0.980780
        19           87              5       -1978.915283    -0.980780
        19           88              5       -1978.915283    -0.980780
        19           89              5       -1978.915283    -0.980780
        19           90              5       -1978.915283    -0.980780
        19           91              5       -1978.915283    -0.980780
        19           92              5       -1978.915405    -0.980780
        19           93              5       -1978.915283    -0.980780
        19           94              5       -1978.915405    -0.980780
        19           95              5       -1978.915283    -0.980780
        19           96              5       -1978.915283    -0.980780
        19           97              5       -1978.915283    -0.980780
        19           98              5       -1978.915405    -0.980780
        19           99              5       -1978.915527    -0.980780
        19          100              5       -1978.915527    -0.980780
        19          101              5       -1978.915527    -0.980780
        19          102              5       -1978.915649    -0.980780
        19          103              5       -1978.915649    -0.980780
        19          104              5       -1978.915527    -0.980780
        19          105              5       -1978.915649    -0.980780
        19          106              5       -1978.915649    -0.980780
        19          107              5       -1978.915649    -0.980780
        19          108              5       -1978.915771    -0.980780
        19          109              5       -1978.915771    -0.980780
        19          110              5       -1978.915771    -0.980780
        19          111              5       -1978.915771    -0.980780
        19          112              5       -1978.915894    -0.980780
        19          113              5       -1978.916016    -0.980780
        19          114              5       -1978.916016    -0.980780
        19          115              5       -1978.916016    -0.980780
        19          116              5       -1978.916138    -0.980780
        19          117              5       -1978.916260    -0.980780
        19          118              5       -1978.916260    -0.980780
        19          119              5       -1978.916260    -0.980780
        19          120              5       -1978.916382    -0.980780
        19          121              5       -1978.916504    -0.980780
        19          122              5       -1978.916748    -0.980780
        19          123              5       -1978.916748    -0.980780
        19          124              5       -1978.916870    -0.980780
        19          125              5       -1978.916870    -0.980780
        19          126              5       -1978.917114    -0.980780
        19          127              5       -1978.917114    -0.980780
        19          128              5       -1978.917236    -0.980780
        19          129              5       -1978.917480    -0.980780
        19          130              5       -1978.917358    -0.980780
        19          131              5       -1978.917480    -0.980780
        19          132              5       -1978.917603    -0.980780
