 4_0
-----------------------------------------------------------------------
 Push step   Relax step   Lanczos step   Potential energy   Eigenvalue
        19            3              7       -1979.109911    -1.266947
        19            4              7       -1979.109934    -1.266947
        19            5              7       -1979.109955    -1.266947
        19            6              7       -1979.109974    -1.266947
        19            7              7       -1979.109992    -1.266947
        19            8              7       -1979.110008    -1.266947
        19            9              7       -1979.110024    -1.266947
        19           10              7       -1979.110039    -1.266947
        19           11              7       -1979.110053    -1.266947
        19           12              7       -1979.110066    -1.266947
        19           13              7       -1979.110078    -1.266947
        19           14              7       -1979.110090    -1.266947
        19           15              7       -1979.110101    -1.266947
        19           16              7       -1979.110112    -1.266947
        19           17              7       -1979.110123    -1.266947
        19           18              7       -1979.110132    -1.266947
        19           19              7       -1979.110142    -1.266947
        19           20              7       -1979.110152    -1.266947
        19           21              7       -1979.110161    -1.266947
        19           22              7       -1979.110170    -1.266947
        19           23              7       -1979.110180    -1.266947
        19           24              7       -1979.110188    -1.266947
        19           25              7       -1979.110199    -1.266947
        19           26              7       -1979.110207    -1.266947
        19           27              7       -1979.110220    -1.266947
        19           28              7       -1979.110229    -1.266947
        19           29              7       -1979.110248    -1.266947
        19           30              7       -1979.110248    -1.266947
-----------------------------------------------------------------------
 State of the saddle   Barrier energy   Reaction energy   Elapsed time
-----------------------------------------------------------------------
           Connected         0.333470         -0.185350      24.953186
-----------------------------------------------------------------------
 5_1
-----------------------------------------------------------------------
 Push step   Relax step   Lanczos step   Potential energy   Eigenvalue
-----------------------------------------------------------------------
         0            0              0       -1979.443718   ----------
         1            0             18       -1979.410589     1.172164
         1            1             18       -1979.419911     1.172164
         2            0              5       -1979.339672     1.075506
         2            1              5       -1979.342102     1.075506
         3            0              3       -1979.195243     1.083601
         3            1              3       -1979.204939     1.083601
         4            0              8       -1978.995730     0.907073
         4            1              8       -1979.015729     0.907073
         5            0              8       -1978.738415     0.794914
         5            1              8       -1978.840148     0.794914
         6            0              5       -1978.529555     0.686806
         6            1              5       -1978.595516     0.686806
         7            0              4       -1978.208348     0.739446
         7            1              4       -1978.255621     0.739446
         8            0              9       -1977.793009     0.533553
         8            1              9       -1977.812982     0.533553
         9            0             10       -1977.243664     0.318925
         9            1             10       -1977.266224     0.318925
        10            0              8       -1977.214114    -0.327348
        11            0              5       -1977.165829    -1.432315
        12            0              3       -1977.129913    -1.502772
        13            0              4       -1977.103684    -1.114874
        13            1              4       -1977.716331    -1.114874
        13            2              4       -1978.161593    -1.114874
        13            3              4       -1978.482267    -1.114874
        13            4              4       -1978.708738    -1.114874
        13            5              4       -1978.869024    -1.114874
        13            6              4       -1978.982840    -1.114874
        13            7              4       -1979.062387    -1.114874
        13            8              4       -1979.115690    -1.114874
        13            9              4       -1979.140251    -1.114874
        13           10              4       -1979.155812    -1.114874
        13           11              4       -1979.163585    -1.114874
        13           12              4       -1979.168266    -1.114874
        13           13              4       -1979.169984    -1.114874
        13           14              4       -1979.171187    -1.114874
        13           15              4       -1979.171954    -1.114874
        13           16              4       -1979.172584    -1.114874
        13           17              4       -1979.173066    -1.114874
        13           18              4       -1979.173480    -1.114874
        13           19              4       -1979.173817    -1.114874
        13           20              4       -1979.174109    -1.114874
        13           21              4       -1979.174356    -1.114874
        13           22              4       -1979.174570    -1.114874
        13           23              4       -1979.174756    -1.114874
        13           24              4       -1979.174917    -1.114874
        13           25              4       -1979.175059    -1.114874
        13           26              4       -1979.175184    -1.114874
        13           27              4       -1979.175294    -1.114874
        13           28              4       -1979.175391    -1.114874
        13           29              4       -1979.175477    -1.114874
        13           30              4       -1979.175553    -1.114874
        13           31              4       -1979.175622    -1.114874
        13           32              4       -1979.175683    -1.114874
        13           33              4       -1979.175738    -1.114874
        13           34              4       -1979.175786    -1.114874
        13           35              4       -1979.175831    -1.114874
        13           36              4       -1979.175870    -1.114874
        13           37              4       -1979.175905    -1.114874
        13           38              4       -1979.175937    -1.114874
        13           39              4       -1979.175966    -1.114874
        14            0              6       -1979.175725    -1.486744
        14            1              6       -1979.175742    -1.486744
        14            2              6       -1979.175756    -1.486744
        14            3              6       -1979.175769    -1.486744
        14            4              6       -1979.175780    -1.486744
        14            5              6       -1979.175790    -1.486744
        14            6              6       -1979.175800    -1.486744
        14            7              6       -1979.175808    -1.486744
        14            8              6       -1979.175815    -1.486744
        14            9              6       -1979.175822    -1.486744
        14           10              6       -1979.175828    -1.486744
        14           11              6       -1979.175833    -1.486744
        14           12              6       -1979.175838    -1.486744
        14           13              6       -1979.175842    -1.486744
        14           14              6       -1979.175846    -1.486744
        14           15              6       -1979.175850    -1.486744
        14           16              6       -1979.175853    -1.486744
        14           17              6       -1979.175856    -1.486744
        14           18              6       -1979.175859    -1.486744
        14           19              6       -1979.175861    -1.486744
        14           20              6       -1979.175863    -1.486744
        14           21              6       -1979.175865    -1.486744
        14           22              6       -1979.175867    -1.486744
        14           23              6       -1979.175869    -1.486744
        14           24              6       -1979.175870    -1.486744
        14           25              6       -1979.175872    -1.486744
        14           26              6       -1979.175873    -1.486744
        14           27              6       -1979.175874    -1.486744
        14           28              6       -1979.175875    -1.486744
        14           29              6       -1979.175875    -1.486744
        14           30              6       -1979.175876    -1.486744
        14           31              6       -1979.175877    -1.486744
        14           32              6       -1979.175877    -1.486744
        15            0              4       -1979.175880   -10.549522
        15            1              4       -1979.177716   -10.549522
        15            2              4       -1979.178593   -10.549522
        15            3              4       -1979.179054   -10.549522
        15            4              4       -1979.179399   -10.549522
        15            5              4       -1979.179671   -10.549522
        15            6              4       -1979.179889   -10.549522
        15            7              4       -1979.180069   -10.549522
        15            8              4       -1979.180219   -10.549522
        15            9              4       -1979.180347   -10.549522
        15           10              4       -1979.180456   -10.549522
        15           11              4       -1979.180551   -10.549522
        15           12              4       -1979.180633   -10.549522
        16            0              7       -1979.179813    -1.528498
        16            1              7       -1979.179852    -1.528498
        16            2              7       -1979.179878    -1.528498
        16            3              7       -1979.179898    -1.528498
        16            4              7       -1979.179914    -1.528498
        16            5              7       -1979.179928    -1.528498
        16            6              7       -1979.179941    -1.528498
        16            7              7       -1979.179952    -1.528498
        16            8              7       -1979.179961    -1.528498
        16            9              7       -1979.179970    -1.528498
        16           10              7       -1979.179977    -1.528498
        16           11              7       -1979.179984    -1.528498
        16           12              7       -1979.179990    -1.528498
        16           13              7       -1979.179996    -1.528498
        16           14              7       -1979.180001    -1.528498
        16           15              7       -1979.180006    -1.528498
        16           16              7       -1979.180010    -1.528498
        16           17              7       -1979.180013    -1.528498
        16           18              7       -1979.180017    -1.528498
        16           19              7       -1979.180020    -1.528498
        16           20              7       -1979.180023    -1.528498
        16           21              7       -1979.180026    -1.528498
        16           22              7       -1979.180028    -1.528498
        16           23              7       -1979.180030    -1.528498
        16           24              7       -1979.180032    -1.528498
        16           25              7       -1979.180034    -1.528498
        16           26              7       -1979.180036    -1.528498
        16           27              7       -1979.180038    -1.528498
        16           28              7       -1979.180039    -1.528498
        16           29              7       -1979.180041    -1.528498
        16           30              7       -1979.180042    -1.528498
        16           31              7       -1979.180044    -1.528498
        16           32              7       -1979.180045    -1.528498
        16           33              7       -1979.180046    -1.528498
        16           34              7       -1979.180047    -1.528498
        16           35              7       -1979.180048    -1.528498
        16           36              7       -1979.180049    -1.528498
        16           37              7       -1979.180050    -1.528498
        16           38              7       -1979.180051    -1.528498
        16           39              7       -1979.180052    -1.528498
        16           40              7       -1979.180053    -1.528498
        16           41              7       -1979.180054    -1.528498
        16           42              7       -1979.180054    -1.528498
        16           43              7       -1979.180055    -1.528498
        16           44              7       -1979.180056    -1.528498
        16           45              7       -1979.180057    -1.528498
        16           46              7       -1979.180058    -1.528498
        16           47              7       -1979.180059    -1.528498
        16           48              7       -1979.180059    -1.528498
        16           49              7       -1979.180060    -1.528498
        16           50              7       -1979.180061    -1.528498
        16           51              7       -1979.180064    -1.528498
        16           52              7       -1979.180064    -1.528498
-----------------------------------------------------------------------
